"name","crc","md5","sha1"
"Aladdin (Europe) (SGB Enhanced).gb","283C58B7","781F768D5211ABA1E4CF383D4585C1BD","A40694A808C5A0D3EEB386F81AD5B0C11163238F"
"Aladdin (USA) (SGB Enhanced).gb","AF6BDC50","ED5525A71DDA6EAF4BBF8D5601B6B3B9","81B4E56AE235FBB123D7AD4BD7C1D96C3B69EB72"
"Alfred Chicken (Europe).gb","3CAB28D9","B83F3C669D22BC74C72743821AE3AAA3","BC7327008DE518DDFAD0AD5C69896921DC2378E0"
"Alfred Chicken (Japan) (SGB Enhanced).gb","1089098F","A95E6579F8D6048C5E150C41D180C782","E04DDF4DF8B5EF70D85E0523D277ABFC68C61496"
"Alfred Chicken (USA).gb","3B9C3BC6","CAC921F8EEC70D5CCD8A2DB8F473A084","80C39D93CA58D0D6144FE7F7BDD47C3A4FCF0438"
"Alien 3 (Japan).gb","E59049B2","4F5C4C439F1134177E02D72C794882BA","4A3E7EB0EDAEFEC096BAA0019B3CBA28B4796689"
"Alien 3 (USA, Europe).gb","EFFB960B","B3F3D35F58A0EA3AFFC0EC6D4EE1183D","AB4D11EEE7FAEA42C637505469E0671C9D4A83F8"
"Alien Olympics (Europe).gb","583C0E4E","D300BF9412617A95B00B80FA468A8A04","C6A69416D3F18071942D222D528B1C9D25F980B7"
"Alien vs Predator (Japan).gb","E884682B","AB916E1DF69E7B3401CB6EBD3F1798A7","5B21DC4A7B48E75DA725657D1CCDE868759E5699"
"Alien vs Predator - The Last of His Clan (USA).gb","4BBCF652","50A208BD0A223C037E01FFE07B04FA5B","C0D39EE87B908CDBD68C59F73E5DC2A7A6CCBEDC"
"All-Star Baseball 99 (USA).gb","D51EE6D3","79492CE68C61AE8E29B96DB1D2E2BF6F","49D13EEF514D26CEE37B10FF602E21A92B87B69D"
"Alleyway (World).gb","5CC01586","91128778A332495F77699EAF3A37FE30","0CF2B8D0428F389F5361F67A0CD1ACE05A1C75CC"
"Altered Space - A 3-D Alien Adventure (Europe).gb","24D5F785","B4AB37EE420C11285BE1C634C34F5726","218DA72E38A847BC5152A226C98E843B4941A8A6"
"Altered Space - A 3-D Alien Adventure (Japan).gb","CE36E36E","3208CC9EE33A163CD7CAD242DB3E1F4A","6D19DFEDF2C916F13A524ACFD7C4E26DE040E655"
